,Player,From,To,Price_m,Year
72,Alberto Soro,Real Madrid,Granada,2.5,2019
73,Ivan Rakitic,Barcelona,Sevilla,1.5,2019
76,Oscar Rodriguez,Real Madrid,Sevilla,13.5,2019
83,Ivo Grbic,NK Lokomotiva,Atletico Madrid,7.0,2019
88,Enes Unal,Villarreal,Getafe,9.0,2019
90,Francis Coquelin,Valencia,Villarreal,6.5,2019
91,Maxime Gonalons,Roma,Granada,4.0,2019
94,Gustavo Maia,Sao Paulo,Barcelona,4.5,2019
96,Matheus Pereira,Juventus,Barcelona,8.0,2019
98,Dani Gomez,Real Madrid,Levante,2.5,2019
100,Luis Milla,Tenerife,Granada,5.0,2019
103,Dimitri Foulquier,Watford,Granada,2.0,2019
105,Lucas Torr,Eintracht Frankfurt,Osasuna,2.0,2019
106,Matheus Fernandes,Palmeiras,Barcelona,7.0,2019
107,Pedri,Las Palmas,Barcelona,5.0,2019
108,Jorge de Frutos,Real Madrid,Levante,5.0,2019
109,Trincão,Braga,Barcelona,31.0,2019
110,Suso,Milan,Sevilla,21.0,2019
112,Marc Cucurella ,Barcelona,Getafe,10.0,2019
55,Jonathan Silva,Leganes,Getafe,2.5,2020
56,Eduardo Camavinga,Stade Rennais,Real Madrid,31.0,2020
57,Matthew Hoppe,Schalke,Mallorca,3.0,2020
62,Thomas Delaney,Borussia Dortmund,Sevilla,6.0,2020
63,Marcos André,Real Valladolid,Valencia,8.5,2020
66,Matheus Cunha,Hertha Berlin,Atletico Madrid,30.0,2020
70,Mamadou Sylla,Girona,Alaves,1.0,2020
73,Rafa Mir,Wolves,Sevilla,16.0,2020
77,Arnaut Danjuma,Bournemouth,Villarreal,23.5,2020
78,Luís Maximiano,Sporting CP,Granada,4.5,2020
80,German Pezzela,Fiorentina,Real Betis,3.5,2020
84,Ludwig Augustinsson,Werder Bremen,Sevilla,5.5,2020
85,Gonzalo Montiel,River Plate,Sevilla,11.0,2020
91,Johan Mojica,Girona,Elche,1.2,2020
104,Boulaye Dia,Reims,Villarreal,12.0,2020
107,Carles Aleñá,Barcelona,Getafe,5.0,2020
113,Rodrigo De Paul,Udinese,Atletico Madrid,35.0,2020
115,Manu Morlanes,Almeria,Villarreal,4.0,2020
116,Santiago Arzamendia,Cerro Porteno,Cadiz,2.5,2020
118,Dominik Greif,Slovan Bratislava,Mallorca,2.5,2020
123,Franco Cervi,Benfica,Celta Vigo,4.0,2020
