,Player,From,To,Price_m,Year
68,Nemanja Radonjic,Red Star Belgrade,Marseille,10.8,2017
69,Nacer Chadli,West Brom,AS Monaco,10.8,2017
71,Erick Gutierrez,Pachuca,PSV Eindhoven,7.2,2017
73,Benjamin Henrichs,Bayer Leverkusen,Monaco,20.0,2017
74,Gabriel,Leganes,Benfica,9.0,2017
76,Kevin Strootman,AS Roma,Marseille,22.5,2017
79,Abdoulay Diaby,Club Brugge,Sporting CP,4.5,2017
81,Jason Denayer,Manchester City,Lyon,10.0,2017
85,Remy Cabella,Olympique Marseille,St. Etienne,4.5,2017
87,Thilo Kehrer,Schalke 04,Paris SG,33.0,2017
102,Lucas Evangelista,Udinese,Nantes,3.6,2017
106,Eder Militao,Sao Paulo,FC Porto,3.6,2017
108,Jean-Eudes Aholou,Strasbourg,AS Monaco,12.6,2017
109,Tom Ince,Huddersfield,Stoke,11.2,2017
111,Chancel Mbemba,Newcastle,FC Porto,7.2,2017
112,Duje Caleta-Car,RB Salzburg,Marseille,17.1,2017
116,Wahbi Khazri,Sunderland,St. Etienne,6.3,2017
117,Daley Blind,Manchester United,Ajax,20.0,2017
119,Ferdi Kadioglu,NEC Nijmegen,Fenerbahce,1.26,2017
123,Antonio Barreca,Torino,Monaco,10.8,2017
126,Jonathan Panzo,Chelsea,Monaco,2.8,2017
128,Pele,Rio Ave,Monaco,9.0,2017
130,Yuto Nagatomo,Inter Milan,Galatasaray,2.25,2017
132,Dusan Tadic,Southampton,Ajax,11.3,2017
133,Emiliano Viviano,Sampdoria,Sporting CP,1.8,2017
135,Willem Geubbels,Olympique Lyon,AS Monaco,18.0,2017
137,Saidy Janko,St. Etienne,FC Porto,2.7,2017
138,Angelino,Manchester City,PSV Eindhoven,5.7,2017
140,Danilo,Braga,Nice,8.0,2017
142,Samuel Grandsir,Troyes,AS Monaco,2.7,2017
72,Raphinha,Sporting CP,Rennes,20.0,2018
74,Hichem Boudaoui,Paradou AC,Nice,4.0,2018
76,Keylor Navas,Real Madrid,PSG,12.5,2018
77,Marcos Senesi,San Lorenzo,Feyenoord,7.0,2018
83,Alex Kral,Slavia Prague,Spartak Moscow,12.0,2018
85,Oscar Hiljemark,Genoa,Dinamo Moscow,0.5,2018
91,Stanley Nsoki,Paris SG,Nice,12.0,2018
97,Antonin Bobichon,Nimes,Angers,1.5,2018
98,Kasper Dolberg,Ajax,Nice,21.5,2018
100,Alexis Claude-Maurice,Lorient,Nice,11.7,2018
104,Dario Maresic,Sturm Graz,Stade Reims,3.0,2018
105,Zakaria Aboukhlal,PSV U21,AZ Alkmaar,2.0,2018
106,Daniel Mancini,Bordeaux,AEK Athens,0.5,2018
111,Ritsu Doan,Groningen,PSV Eindhoven,7.0,2018
118,Paul Onuachu,Midtjylland,Genk,6.0,2018
119,Renato Sanches,Bayern Munich,Lille,20.0,2018
121,Michael Santos,Malaga,Copenhagen,2.2,2018
124,Yannis Salibur,Guingamp,Mallorca,2.0,2018
125,Georges-Kevin N'Koudou,Tottenham,Besiktas,4.0,2018
128,Luka Ivanušec,NK Lokomotiva,Dinamo Zagreb,3.0,2018
138,Wissam Ben Yedder,Sevilla,Monaco,40.0,2018
141,Federico Ricca,Malaga,Club Brugge,3.0,2018
142,Maximilian Wöber,Sevilla,RB Salzburg,12.0,2018
143,Jeff Reine-Adelaide,Angers,Lyon,22.5,2018
145,Luka Djordjevic,Zenit St. Petersburg,Lokomotiv Moscow,2.5,2018
146,Irvin Cardona,Monaco,Brest,1.5,2018
149,Henry Onyekuru,Everton,AS Monaco,12.2,2018
153,Maximilian Philipp,Bor. Dortmund,Dinamo Moscow,20.0,2018
154,George Puscas,Inter Milan,Reading,8.0,2018
155,Charlie Austin,Southampton,West Brom,4.3,2018
156,Brice Samba,Caen,Nottingham Forest,2.1,2018
161,Edouard Mendy,Reims,Rennes,4.0,2018
162,Victor Ruiz,Villarreal,Besiktas,3.0,2018
163,Ruben Aguilar,Montpellier,Monaco,7.5,2018
164,Guus Til,AZ Alkmaar,Spartak Moscow,18.0,2018
165,Arnaud Souquet,Gent,Montpellier,2.8,2018
166,Miguel Trauco,Flamengo,Saint Etienne,1.0,2018
167,Laurent Koscielny,Arsenal,Bordeaux,4.5,2018
168,Simon Mignolet,Liverpool,Club Brugge,7.0,2018
169,Mateus Uribe,Club America,FC Porto,9.0,2018
170,Dario Benedetto,Boca Juniors,Marseille,15.0,2018
171,Malcom,FC Barcelona,Zenit,40.0,2018
172,Victor Osimhen,Charleroi,Lille,12.0,2018
176,Idrissa Gueye,Everton,Paris SG,30.0,2018
179,Ryad Boudebouz,Real Betis,Saint Etienne,3.15,2018
182,Remy Cabella,Saint-Etienne,Krasnodar,12.0,2018
183,Timo Baumgartl,Stuttgart,PSV Eindhoven,9.0,2018
184,Hatem Abd Elhamed,H. Beer Sheva,Celtic,1.8,2018
185,Sada Thioub,Nimes,Angers,3.5,2018
187,Carlos Vinicius,Napoli,Benfica,17.0,2018
188,Agustin Rogel,KS Samara,Toulouse,2.5,2018
189,Edson Alvarez,America,Ajax,15.0,2018
190,Domagoj Bradaric,Hajduk Split,Lille,6.5,2018
191,Bruno Manga,Cardiff,Dijon,3.3,2018
192,Rasmus Kristensen,Ajax,RB Salzburg,5.0,2018
195,Benjamin Andre,Rennes,Lille,7.0,2018
196,Olivier Boscagli,Nice,PSV Eindhoven,2.0,2018
198,Tyler Boyd,Guimaraes,Besiktas,2.4,2018
200,Benjamin Lecomte,Montpellier,Monaco,13.5,2018
202,Abdou Diallo,Borussia Dortmund,PSG,31.0,2018
204,Hwang Ui-jo,Gamba Osaka,Bordeaux,2.0,2018
205,Joachim Andersen,Sampdoria,Lyon,26.0,2018
206,Ianis Hagi,FC Viitorul,Genk,8.0,2018
207,Julien Masson,Valenciennes,Angers,1.5,2018
209,Luis Diaz,Junior FC,Porto,8.5,2018
210,Felipe Avenatti,Bologna,Standard Liege,3.5,2018
212,Flavien Tait,Angers,Stade Rennais,9.0,2018
213,David Okereke,Spezia Calcio,Club Brugge,8.0,2018
217,Shoya Nakajima,Al Duhail,Porto,12.0,2018
218,Sergi Palencia,Barcelona,Saint-Etienne,2.0,2018
219,Denis Bouanga,Nimes,Saint Etienne,4.05,2018
223,Boli Bolingoli-Mbombo,Rapid Vienna,Celtic,3.3,2018
226,Thiago Mendes,Lille,Lyon,20.0,2018
227,Youssouf Kone,Lille,Lyon,8.1,2018
228,Raul de Tomás,Rayo Vallecano,Benfica,18.0,2018
229,Tomas Kalas,Chelsea,Bristol City,9.0,2018
230,Gelson Martins,Atletico Madrid,Monaco,30.0,2018
231,Pablo Sarabia,Sevilla,PSG,16.2,2018
233,Luis Diaz,Junior,FC Porto,8.0,2018
234,Ze Luis,Spartak Moscow,FC Porto,7.65,2018
236,Andrei Burca,Botosani,CFR Cluj,0.2,2018
238,Bjorn Engels,Olympiacos,Reims,4.0,2018
240,Renzo Saravia,Racing Club,FC Porto,495.0,2018
241,Jhonder Cádiz,Vitoria Setubal,Benfica,3.0,2018
244,Ruslan Kambolov,Rubin Kazan,Krasnodar,0.4,2018
251,Ante Majstorovic,Dinamo Zagreb,NK Osijek,0.4,2018
252,Theo Bongonda,Zulte Waregem,Genk,7.0,2018
253,Andy Delort,Toulouse,Montpellier,5.0,2018
254,Peniel Mlapa,Dynamo Dresden,VVV-Venlo,0.8,2018
255,Andre Horta,Los Angeles FC,Braga,2.5,2018
262,Lisandro Martinez,Defensa y Justicia,Ajax,6.3,2018
265,Grzegorz Krychowiak,Paris SG,Lokomotiv Moscow,11.25,2018
266,Luciano Vietto,Atletico Madrid,Sporting CP,6.75,2018
267,Kik Pierie,Heerenveen,Ajax,4.5,2018
272,Serhou Guirassy,FC Koln,Amiens,5.4,2018
277,Christopher Martins Pereira,Lyon,Young Boys,2.0,2018
284,Christopher Jullien,Toulouse,Celtic,7.2,2018
285,Ruben Semedo,Villarreal,Olympiacos,4.5,2018
286,Rafael Camacho,Liverpool,Sporting CP,5.5,2018
287,Bruma,RB Leipzig,PSV Eindhoven,13.5,2018
289,Razvan Marin,Standard Liege,Ajax,11.0,2018
291,Nicolas Gavory,Utrecht,Standard Liege,3.1,2018
292,Quincy Promes,Sevilla,Ajax,14.2,2018
295,Jean Lucas,Flamengo,Lyon,7.2,2018
298,Christian Luyindama,Standard Liege,Galatasaray,5.0,2018
299,Abou Ba,Nancy,Nantes,0.9,2018
301,Chiquinho,Moreirense,Benfica,3.38,2018
302,Stephen Odey,Zurich,Genk,3.5,2018
304,Zinho Vanheusden,Inter MIlan,Standard Liege,11.4,2018
306,Timothy Weah,PSG,Lille,9.0,2018
307,Thierry Ambrose,Manchester City,Metz,2.25,2018
309,Elisha Owusu,Lyon,Gent,1.0,2018
312,Murilo Cerqueira,Cruzeiro,Lokomotiv Moscow,2.5,2018
317,Anastasios Bakasetas,AEK Athens,Alanyaspor,0.8,2018
318,Michal Travnik,Jablonec,Sparta Prague,1.8,2018
320,Vincent Sierro,Freiburg,Young Boys,1.5,2018
325,David Simao,Royal Antwerp,AEK Athens,0.4,2018
328,Nikola Vlasic,Everton,CSKA Moscow,15.7,2018
330,Jordan Ferri,Lyon,Montpellier,2.0,2018
331,Dennis Appiah,Anderlecht,Nantes,0.675,2018
26,Pol Lirola,Fiorentina,Marseille,6.5,2020
27,Josip Juranović,Legia Warsaw,Celtic,3.0,2020
29,Xherdan Shaqiri,Liverpool,Olympic Lyon,6.0,2020
32,Wendell,Bayer Leverkusen,Porto,4.0,2020
35,Baptiste Santamaria,Freiburg,Rennes,14.0,2020
37,Claudinho,RB Bragantino,Zenit St Petersburg,15.0,2020
38,Rachid Ghezzal,Leicester City,Besiktas,3.0,2020
39,Victor Nelsson,Copenhagen,Galatasaray,7.0,2020
43,Amadou Onana,Hamburg,Lille,7.0,2020
47,Myron Boadu,AZ Alkmaar,Monaco,17.0,2020
48,Henry Onyekuru,Monaco,Olympiacos,4.5,2020
49,Jean Lucas,Lyon,Monaco,11.0,2020
51,Marko Grujić,Liverpool,Porto,12.0,2020
53,Steven Berghuis,Feyenoord,Ajax,5.5,2020
55,Luan Peres,Santos,Marseille,4.5,2020
57,Calvin Stengs,AZ Alkmaar,Nice,15.0,2020
62,Ismail Jakobs,1. FC Koln,Monaco,6.5,2020
68,Achraf Hakimi,Inter Milan,PSG,60.0,2020
70,Loïc Badé,Lens,Rennes,20.0,2020
73,Jay Gorter,Go Ahead Eagles,Ajax,1.0,2020
76,Konrad de la Fuente,Barcelona,Marseille,3.0,2020
77,Danilo Pereira,FC Porto,PSG,16.0,2020
0,Dávid Hancko,Sparta Prague,Feyenoord,6.0,2021
2,Ahmetcan Kaplan,Trabzonspor,Ajax,9.5,2021
3,Igor Paixão,Coritiba,Feyenoord,5.0,2021
5,Alan Virginius,Sochaux,Lille,4.0,2021
7,Mohamed Camara,RB Salzburg,Monaco,15.0,2021
8,Jorge Sanchez,America,Ajax,5.0,2021
11,Mathew Ryan,Real Sociedad,FC Copenhagen,5.0,2021
14,Lucas Torreira,Arsenal,Galatasaray,6.0,2021
15,Renato Sanches,Lille,PSG,15.0,2021
16,Mattia Viti,Empoli,Nice,13.0,2021
17,Kasper Schmeichel,Leicester City,OGC Nice,1.0,2021
21,Alexis Beka Beka,Lokomotiv Moscow,Nice,12.0,2021
22,Arthur Theate,Bologna,Rennes,19.0,2021
23,Nordi Mukiele,RB Leipzig,PSG,12.0,2021
24,Rıdvan Yılmaz,Besiktas,Rangers,4.0,2021
25,Calvin Bassey,Rangers,Ajax,23.0,2021
29,Luis Suarez,Granada,Marseille,10.0,2021
30,Ben Davies,Liverpool,Rangers,4.7,2021
32,Rareș Ilie,FC Rapid,Nice,5.0,2021
36,Breel Embolo,Monchengladbach,Monaco,12.5,2021
38,Enzo Fernández,River Plate,Benfica,10.0,2021
42,Mohamed Bayo,Clermont,Lille,14.0,2021
45,Owen Wijndal,AZ Alkmaar,Ajax,10.0,2021
46,Rabbi Matondo,Schalke,Rangers,3.0,2021
48,Sergio Oliveira,Porto,Galatasaray,3.0,2021
49,Steven Bergwijn,Tottenham,Ajax,31.25,2021
50,David Carmo,Braga,Porto,20.0,2021
54,Pedro Porro,Manchester City,Sporting,8.5,2021
55,Pau Lopez,Roma,Marseille,12.0,2021
56,Diego Rossi,Los Angeles FC,Fenerbahce,5.5,2021
57,Gedson Fernandes,Benfica,Besiktas,6.0,2021
59,Ruben Vinagre,Wolves,Sporting,10.0,2021
60,Matteo Guendouzi,Arsenal,Marseille,11.0,2021
61,Marko Grujić,Liverpool,Porto,9.0,2021
62,Arkadiusz Milik,Napoli,Marseille ,9.0,2021
65,David Neres,Shakhtar Donetsk,Benfica,15.0,2021
67,Nuno Mendes,Sporting,PSG,38.0,2021
69,Vitinha,Porto,PSG,41.5,2021
71,Alexandro Bernabei,Lanus,Celtic,4.0,2021
72,Alexandro Bernabei,Lanus,Celtic,4.35,2021
74,Souleymane Isaak Touré,Le Havre,Marseille,5.5,2021
76,Takumi Minamino,Liverpool,Monaco,15.0,2021
82,Enzo Fernández,River Plate,Benfica,10.0,2021
83,Cengiz Under,Roma,Marseille,8.4,2021
