,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Year,From,To,Price
4541,1764,Neto,BRA,GK,Valencia,La Liga,29,1989,34,34,"3,060",34.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Valencia,FC Barcelona,23.4
4559,1782,Christopher Nkunku,FRA,MF,Paris S-G,Ligue 1,20,1997,22,13,"1,156",12.8,3,2,3,0,0,0,0,0.23,0.16,0.39,0.23,0.39,2.3,2.3,3.3,5.6,0.18,0.26,0.43,0.18,0.43,2018,PSG,RB Leipzig,15
4560,1782,Christopher Nkunku,FRA,MF,Paris S-G,Ligue 1,20,1997,22,13,"1,156",12.8,3,2,3,0,0,0,0,0.23,0.16,0.39,0.23,0.39,2.3,2.3,3.3,5.6,0.18,0.26,0.43,0.18,0.43,2018,PSG,RB Leipzig,15
4582,1804,Lucas Ocampos,ARG,FW,Marseille,Ligue 1,24,1994,34,31,"2,708",30.1,4,8,4,0,0,11,0,0.13,0.27,0.40,0.13,0.40,7.2,7.2,3.8,11.1,0.24,0.13,0.37,0.24,0.37,2018,Marseille,Sevilla,13.5
4583,1804,Lucas Ocampos,ARG,FW,Marseille,Ligue 1,24,1994,34,31,"2,708",30.1,4,8,4,0,0,11,0,0.13,0.27,0.40,0.13,0.40,7.2,7.2,3.8,11.1,0.24,0.13,0.37,0.24,0.37,2018,Marseille,Sevilla,13.5
4604,1825,Kenneth Omeruo,NGA,DF,Leganés,La Liga,24,1993,28,27,"2,433",27.0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.01,0.00,0.01,0.01,0.01,2018,Chelsea,Leganes,6.3
4605,1825,Kenneth Omeruo,NGA,DF,Leganés,La Liga,24,1993,28,27,"2,433",27.0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.01,0.00,0.01,0.01,0.01,2018,Chelsea,Leganes,6.3
4639,1859,Sergi Palencia,ESP,DF,Bordeaux,Ligue 1,22,1996,25,22,"1,986",22.1,0,3,0,0,0,6,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,1.6,1.8,0.01,0.07,0.08,0.01,0.08,2018,Barcelona,Saint-Etienne,2
4640,1859,Sergi Palencia,ESP,DF,Bordeaux,Ligue 1,22,1996,25,22,"1,986",22.1,0,3,0,0,0,6,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,1.6,1.8,0.01,0.07,0.08,0.01,0.08,2018,Barcelona,Saint-Etienne,2
4664,1883,Benjamin Pavard,FRA,DF,Stuttgart,Bundesliga,22,1996,29,29,"2,610",29.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.9,1.7,0.03,0.03,0.06,0.03,0.06,2018,Stuttgart,Bayern Munich,31.5
4665,1883,Benjamin Pavard,FRA,DF,Stuttgart,Bundesliga,22,1996,29,29,"2,610",29.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.9,1.7,0.03,0.03,0.06,0.03,0.06,2018,Stuttgart,Bayern Munich,31.5
4718,1936,Maximilian Philipp,GER,FW,Dortmund,Bundesliga,24,1994,18,9,758,8.4,1,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,1.1,1.1,0.2,1.3,0.13,0.03,0.16,0.13,0.16,2018,Bor. Dortmund,Dinamo Moscow,20
4719,1936,Maximilian Philipp,GER,FW,Dortmund,Bundesliga,24,1994,18,9,758,8.4,1,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,1.1,1.1,0.2,1.3,0.13,0.03,0.16,0.13,0.16,2018,Bor. Dortmund,Dinamo Moscow,20
4729,1946,Ronaël Pierre-Gabriel,FRA,DF,Monaco,Ligue 1,20,1998,4,4,355,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,2018,AS Monaco,Mainz,5.4
4730,1946,Ronaël Pierre-Gabriel,FRA,DF,Monaco,Ligue 1,20,1998,4,4,355,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,2018,AS Monaco,Mainz,5.4
4759,1975,Pedro Porro,ESP,DF,Girona,La Liga,18,1999,32,25,"2,211",24.6,0,4,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,0.9,0.9,2.3,3.2,0.04,0.09,0.13,0.04,0.13,2018,Girona,Man City,12
4760,1975,Pedro Porro,ESP,DF,Girona,La Liga,18,1999,32,25,"2,211",24.6,0,4,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,0.9,0.9,2.3,3.2,0.04,0.09,0.13,0.04,0.13,2018,Girona,Manchester City,11
4761,1975,Pedro Porro,ESP,DF,Girona,La Liga,18,1999,32,25,"2,211",24.6,0,4,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,0.9,0.9,2.3,3.2,0.04,0.09,0.13,0.04,0.13,2018,Girona,Man City,12
4762,1975,Pedro Porro,ESP,DF,Girona,La Liga,18,1999,32,25,"2,211",24.6,0,4,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,0.9,0.9,2.3,3.2,0.04,0.09,0.13,0.04,0.13,2018,Girona,Manchester City,11
4765,1978,Portu,ESP,FW,Girona,La Liga,26,1992,34,33,"2,821",31.3,9,2,8,1,1,3,0,0.29,0.06,0.35,0.26,0.32,8.4,7.6,3.3,10.9,0.27,0.11,0.37,0.24,0.35,2018,Girona,Real Sociedad,9
4766,1978,Portu,ESP,FW,Girona,La Liga,26,1992,34,33,"2,821",31.3,9,2,8,1,1,3,0,0.29,0.06,0.35,0.26,0.32,8.4,7.6,3.3,10.9,0.27,0.11,0.37,0.24,0.35,2018,Girona,Real Sociedad,9
4773,1985,Dennis Praet,BEL,MF,Sampdoria,Serie A,24,1994,34,33,"2,890",32.1,2,3,2,0,0,6,0,0.06,0.09,0.16,0.06,0.16,1.8,1.8,2.8,4.6,0.05,0.09,0.14,0.05,0.14,2018,Sampdoria,Leicester,21
4774,1985,Dennis Praet,BEL,MF,Sampdoria,Serie A,24,1994,34,33,"2,890",32.1,2,3,2,0,0,6,0,0.06,0.09,0.16,0.06,0.16,1.8,1.8,2.8,4.6,0.05,0.09,0.14,0.05,0.14,2018,Sampdoria,Leicester,20
4775,1985,Dennis Praet,BEL,MF,Sampdoria,Serie A,24,1994,34,33,"2,890",32.1,2,3,2,0,0,6,0,0.06,0.09,0.16,0.06,0.16,1.8,1.8,2.8,4.6,0.05,0.09,0.14,0.05,0.14,2018,Sampdoria,Leicester,21
4776,1985,Dennis Praet,BEL,MF,Sampdoria,Serie A,24,1994,34,33,"2,890",32.1,2,3,2,0,0,6,0,0.06,0.09,0.16,0.06,0.16,1.8,1.8,2.8,4.6,0.05,0.09,0.14,0.05,0.14,2018,Sampdoria,Leicester,20
4783,1992,Quincy Promes,NED,DF,Sevilla,La Liga,26,1992,33,15,"1,583",17.6,2,3,2,0,1,2,0,0.11,0.17,0.28,0.11,0.28,3.2,2.3,3.4,5.7,0.18,0.20,0.38,0.13,0.33,2018,Sevilla,Ajax,14.2
4784,1992,Quincy Promes,NED,DF,Sevilla,La Liga,26,1992,33,15,"1,583",17.6,2,3,2,0,1,2,0,0.11,0.17,0.28,0.11,0.28,3.2,2.3,3.4,5.7,0.18,0.20,0.38,0.13,0.33,2018,Sevilla,Ajax,14.2
4882,2090,Sebastian Rode,GER,MF,Eint Frankfurt,Bundesliga,27,1990,12,12,923,10.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.2,0.03,0.09,0.12,0.03,0.12,2018,Bor. Dortmund,Eintracht Frankfurt,3.8
4883,2090,Sebastian Rode,GER,MF,Eint Frankfurt,Bundesliga,27,1990,12,12,923,10.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.2,0.03,0.09,0.12,0.03,0.12,2018,Bor. Dortmund,Eintracht Frankfurt,3.8
4909,2116,Facundo Roncaglia,ARG,DF,Celta Vigo,La Liga,31,1987,12,12,"1,070",11.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,2018,Celta de Vigo,Osasuna,"225,000"
4910,2116,Facundo Roncaglia,ARG,DF,Celta Vigo,La Liga,31,1987,12,12,"1,070",11.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,2018,Celta de Vigo,Osasuna,"225,000"
4911,2117,Facundo Roncaglia,ARG,DF,Valencia,La Liga,31,1987,7,7,601,6.7,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,2018,Celta de Vigo,Osasuna,"225,000"
4912,2117,Facundo Roncaglia,ARG,DF,Valencia,La Liga,31,1987,7,7,601,6.7,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,2018,Celta de Vigo,Osasuna,"225,000"
4947,2152,Allan Saint-Maximin,FRA,FW,Nice,Ligue 1,21,1997,34,34,"2,900",32.2,5,3,4,1,2,2,0,0.16,0.09,0.25,0.12,0.22,6.7,5.1,6.3,11.4,0.21,0.20,0.40,0.16,0.35,2018,Nice,Newcastle United,16.2
4948,2152,Allan Saint-Maximin,FRA,FW,Nice,Ligue 1,21,1997,34,34,"2,900",32.2,5,3,4,1,2,2,0,0.16,0.09,0.25,0.12,0.22,6.7,5.1,6.3,11.4,0.21,0.20,0.40,0.16,0.35,2018,Nice,Newcastle United,16.2
4962,2166,William Saliba,FRA,DF,Saint-Étienne,Ligue 1,17,2001,16,13,"1,277",14.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.7,0.03,0.02,0.05,0.03,0.05,2018,Saint-Etienne,Arsenal,30
4963,2166,William Saliba,FRA,DF,Saint-Étienne,Ligue 1,17,2001,16,13,"1,277",14.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.7,0.03,0.02,0.05,0.03,0.05,2018,Saint-Etienne,Arsenal,30
4964,2167,Yannis Salibur,FRA,FW,Saint-Étienne,Ligue 1,27,1991,21,9,885,9.8,1,3,1,0,0,2,1,0.10,0.31,0.41,0.10,0.41,1.9,1.9,1.8,3.7,0.19,0.19,0.38,0.19,0.38,2018,Guingamp,Mallorca,2
4965,2167,Yannis Salibur,FRA,FW,Saint-Étienne,Ligue 1,27,1991,21,9,885,9.8,1,3,1,0,0,2,1,0.10,0.31,0.41,0.10,0.41,1.9,1.9,1.8,3.7,0.19,0.19,0.38,0.19,0.38,2018,Guingamp,Mallorca,2
4966,2167,Yannis Salibur,FRA,FW,Saint-Étienne,Ligue 1,27,1991,21,9,885,9.8,1,3,1,0,0,2,1,0.10,0.31,0.41,0.10,0.41,1.9,1.9,1.8,3.7,0.19,0.19,0.38,0.19,0.38,2018,Guingamp,Mallorca,2
4967,2167,Yannis Salibur,FRA,FW,Saint-Étienne,Ligue 1,27,1991,21,9,885,9.8,1,3,1,0,0,2,1,0.10,0.31,0.41,0.10,0.41,1.9,1.9,1.8,3.7,0.19,0.19,0.38,0.19,0.38,2018,Guingamp,Mallorca,2
4968,2168,Yannis Salibur,FRA,FW,Guingamp,Ligue 1,27,1991,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.23,0.23,0.00,0.23,2018,Guingamp,Mallorca,2
4969,2168,Yannis Salibur,FRA,FW,Guingamp,Ligue 1,27,1991,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.23,0.23,0.00,0.23,2018,Guingamp,Mallorca,2
4970,2168,Yannis Salibur,FRA,FW,Guingamp,Ligue 1,27,1991,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.23,0.23,0.00,0.23,2018,Guingamp,Mallorca,2
4971,2168,Yannis Salibur,FRA,FW,Guingamp,Ligue 1,27,1991,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.23,0.23,0.00,0.23,2018,Guingamp,Mallorca,2
4974,2171,Brice Samba,CGO,GK,Caen,Ligue 1,24,1994,38,38,"3,420",38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Caen,Nottingham Forest,2.1
4975,2171,Brice Samba,CGO,GK,Caen,Ligue 1,24,1994,38,38,"3,420",38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Caen,Nottingham Forest,2.1
4982,2178,Renato Sanches,POR,MF,Bayern Munich,Bundesliga,20,1997,17,4,577,6.4,1,1,1,0,0,2,1,0.16,0.16,0.31,0.16,0.31,1.4,1.4,0.4,1.8,0.22,0.06,0.28,0.22,0.28,2018,Bayern Munich,Lille,20
4983,2178,Renato Sanches,POR,MF,Bayern Munich,Bundesliga,20,1997,17,4,577,6.4,1,1,1,0,0,2,1,0.16,0.16,0.31,0.16,0.31,1.4,1.4,0.4,1.8,0.22,0.06,0.28,0.22,0.28,2018,Bayern Munich,Lille,20
5007,2202,Michael Santos,URU,FW,Leganés,La Liga,25,1993,16,5,557,6.2,1,3,1,0,0,4,0,0.16,0.48,0.65,0.16,0.65,1.6,1.6,0.9,2.5,0.25,0.15,0.40,0.25,0.40,2018,Malaga,Copenhagen,2.2
5008,2202,Michael Santos,URU,FW,Leganés,La Liga,25,1993,16,5,557,6.2,1,3,1,0,0,4,0,0.16,0.48,0.65,0.16,0.65,1.6,1.6,0.9,2.5,0.25,0.15,0.40,0.25,0.40,2018,Malaga,Copenhagen,2.2
5011,2205,Pablo Sarabia,ESP,MF,Sevilla,La Liga,26,1992,33,30,"2,724",30.3,13,13,12,1,1,9,0,0.43,0.43,0.86,0.40,0.83,10.8,10.0,9.2,19.2,0.36,0.30,0.66,0.33,0.63,2018,Sevilla,PSG,16.2
5012,2205,Pablo Sarabia,ESP,MF,Sevilla,La Liga,26,1992,33,30,"2,724",30.3,13,13,12,1,1,9,0,0.43,0.43,0.86,0.40,0.83,10.8,10.0,9.2,19.2,0.36,0.30,0.66,0.33,0.63,2018,Sevilla,PSG,16.2
5016,2209,Ismaila Sarr,SEN,FW,Rennes,Ligue 1,20,1998,35,32,"2,788",31.0,8,6,7,1,1,6,0,0.26,0.19,0.45,0.23,0.42,6.6,5.8,6.8,12.6,0.21,0.22,0.43,0.19,0.41,2018,Rennes,Watford,30
5017,2209,Ismaila Sarr,SEN,FW,Rennes,Ligue 1,20,1998,35,32,"2,788",31.0,8,6,7,1,1,6,0,0.26,0.19,0.45,0.23,0.42,6.6,5.8,6.8,12.6,0.21,0.22,0.43,0.19,0.41,2018,Rennes,Watford,30
5039,2231,Nico Schulz,GER,DF,Hoffenheim,Bundesliga,25,1993,30,29,"2,537",28.2,1,5,1,0,0,6,0,0.04,0.18,0.21,0.04,0.21,2.1,2.1,8.1,10.2,0.07,0.29,0.36,0.07,0.36,2018,Hoffenheim,Bor. Dortmund,24.3
5040,2231,Nico Schulz,GER,DF,Hoffenheim,Bundesliga,25,1993,30,29,"2,537",28.2,1,5,1,0,0,6,0,0.04,0.18,0.21,0.04,0.21,2.1,2.1,8.1,10.2,0.07,0.29,0.36,0.07,0.36,2018,Hoffenheim,Bor. Dortmund,24.3
5063,2254,Ryan Sessegnon,ENG,FW,Fulham,Premier League,18,2000,35,26,"2,300",25.6,2,6,2,0,0,0,0,0.08,0.23,0.31,0.08,0.31,3.3,3.3,4.7,8.1,0.13,0.18,0.32,0.13,0.32,2018,Fulham,Tottenham,27
5064,2254,Ryan Sessegnon,ENG,FW,Fulham,Premier League,18,2000,35,26,"2,300",25.6,2,6,2,0,0,0,0,0.08,0.23,0.31,0.08,0.31,3.3,3.3,4.7,8.1,0.13,0.18,0.32,0.13,0.32,2018,Fulham,Tottenham,25
5065,2254,Ryan Sessegnon,ENG,FW,Fulham,Premier League,18,2000,35,26,"2,300",25.6,2,6,2,0,0,0,0,0.08,0.23,0.31,0.08,0.31,3.3,3.3,4.7,8.1,0.13,0.18,0.32,0.13,0.32,2018,Fulham,Tottenham,27
5066,2254,Ryan Sessegnon,ENG,FW,Fulham,Premier League,18,2000,35,26,"2,300",25.6,2,6,2,0,0,0,0,0.08,0.23,0.31,0.08,0.31,3.3,3.3,4.7,8.1,0.13,0.18,0.32,0.13,0.32,2018,Fulham,Tottenham,25
5087,2275,Jonathan Silva,ARG,DF,Leganés,La Liga,24,1994,30,30,"2,700",30.0,3,6,3,0,0,9,0,0.10,0.20,0.30,0.10,0.30,1.6,1.6,3.4,5.1,0.05,0.11,0.17,0.05,0.17,2018,Sporting Lisbon,Leganes,2.7
5088,2275,Jonathan Silva,ARG,DF,Leganés,La Liga,24,1994,30,30,"2,700",30.0,3,6,3,0,0,9,0,0.10,0.20,0.30,0.10,0.30,1.6,1.6,3.4,5.1,0.05,0.11,0.17,0.05,0.17,2018,Sporting Lisbon,Leganes,2.7
5208,2395,Flavien Tait,FRA,MF,Angers,Ligue 1,25,1993,36,34,"2,985",33.2,5,7,5,0,1,2,0,0.15,0.21,0.36,0.15,0.36,6.7,5.8,7.1,12.9,0.20,0.21,0.42,0.18,0.39,2018,Angers,Stade Rennais,9
5209,2395,Flavien Tait,FRA,MF,Angers,Ligue 1,25,1993,36,34,"2,985",33.2,5,7,5,0,1,2,0,0.15,0.21,0.36,0.15,0.36,6.7,5.8,7.1,12.9,0.20,0.21,0.42,0.18,0.39,2018,Angers,Stade Rennais,9
5212,2398,Matt Targett,ENG,DF,Southampton,Premier League,22,1995,16,13,"1,186",13.2,1,3,1,0,0,2,0,0.08,0.23,0.30,0.08,0.30,0.7,0.7,2.6,3.3,0.05,0.20,0.25,0.05,0.25,2018,Southampton,Aston Villa,14
5213,2398,Matt Targett,ENG,DF,Southampton,Premier League,22,1995,16,13,"1,186",13.2,1,3,1,0,0,2,0,0.08,0.23,0.30,0.08,0.30,0.7,0.7,2.6,3.3,0.05,0.20,0.25,0.05,0.25,2018,Southampton,Aston Villa,14
5237,2422,Sada Thioub,SEN,FW,Nîmes,Ligue 1,23,1995,38,27,"2,476",27.5,3,5,3,0,0,3,0,0.11,0.18,0.29,0.11,0.29,3.4,3.4,3.5,6.9,0.13,0.13,0.25,0.13,0.25,2018,Nimes,Angers,3.5
5238,2422,Sada Thioub,SEN,FW,Nîmes,Ligue 1,23,1995,38,27,"2,476",27.5,3,5,3,0,0,3,0,0.11,0.18,0.29,0.11,0.29,3.4,3.4,3.5,6.9,0.13,0.13,0.25,0.13,0.25,2018,Nimes,Angers,3.5
5242,2426,Marcus Thuram,FRA,FW,Guingamp,Ligue 1,20,1997,32,32,"2,571",28.6,9,1,5,4,5,4,2,0.32,0.04,0.35,0.18,0.21,10.0,6.2,3.3,9.5,0.35,0.12,0.47,0.22,0.33,2018,Guingamp,Monchengladbach,8.5
5243,2426,Marcus Thuram,FRA,FW,Guingamp,Ligue 1,20,1997,32,32,"2,571",28.6,9,1,5,4,5,4,2,0.32,0.04,0.35,0.18,0.21,10.0,6.2,3.3,9.5,0.35,0.12,0.47,0.22,0.33,2018,Guingamp,Monchengladbach,8.5
5244,2427,Youri Tielemans,BEL,MF,Leicester City,Premier League,21,1997,13,13,"1,086",12.1,3,4,3,0,0,2,0,0.25,0.33,0.58,0.25,0.58,1.8,1.8,2.4,4.1,0.15,0.20,0.34,0.15,0.34,2018,Monaco,Leicester,44
5245,2427,Youri Tielemans,BEL,MF,Leicester City,Premier League,21,1997,13,13,"1,086",12.1,3,4,3,0,0,2,0,0.25,0.33,0.58,0.25,0.58,1.8,1.8,2.4,4.1,0.15,0.20,0.34,0.15,0.34,2018,Monaco,Leicester,44
5246,2428,Youri Tielemans,BEL,MF,Monaco,Ligue 1,21,1997,20,20,"1,680",18.7,5,1,4,1,1,5,0,0.27,0.05,0.32,0.21,0.27,3.1,2.3,1.6,3.9,0.17,0.09,0.25,0.12,0.21,2018,Monaco,Leicester,44
5247,2428,Youri Tielemans,BEL,MF,Monaco,Ligue 1,21,1997,20,20,"1,680",18.7,5,1,4,1,1,5,0,0.27,0.05,0.32,0.21,0.27,3.1,2.3,1.6,3.9,0.17,0.09,0.25,0.12,0.21,2018,Monaco,Leicester,44
5285,2466,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,28,1990,33,33,"2,937",32.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,PSG,Eintracht Frankfurt,7
5286,2466,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,28,1990,33,33,"2,937",32.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,PSG,Eintracht Frankfurt,7
5291,2471,Kieran Trippier,ENG,DF,Tottenham,Premier League,27,1990,27,26,"2,276",25.3,1,3,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,0.6,0.6,4.7,5.3,0.02,0.19,0.21,0.02,0.21,2018,Tottenham,Atletico Madrid,22
5292,2471,Kieran Trippier,ENG,DF,Tottenham,Premier League,27,1990,27,26,"2,276",25.3,1,3,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,0.6,0.6,4.7,5.3,0.02,0.19,0.21,0.02,0.21,2018,Tottenham,Atletico Madrid,22
5300,2479,Anthony Ujah,NGA,FW,Mainz 05,Bundesliga,27,1990,22,6,735,8.2,4,0,4,0,0,2,0,0.49,0.00,0.49,0.49,0.49,3.8,3.8,1.3,5.1,0.46,0.16,0.62,0.46,0.62,2018,Mainz,Union Berlin,1.80
5301,2479,Anthony Ujah,NGA,FW,Mainz 05,Bundesliga,27,1990,22,6,735,8.2,4,0,4,0,0,2,0,0.49,0.00,0.49,0.49,0.49,3.8,3.8,1.3,5.1,0.46,0.16,0.62,0.46,0.62,2018,Mainz,Union Berlin,1.80
5355,2533,Luciano Vietto,ARG,FW,Fulham,Premier League,24,1993,20,10,986,11.0,1,4,1,0,0,1,0,0.09,0.37,0.46,0.09,0.46,2.4,2.4,2.1,4.5,0.22,0.19,0.41,0.22,0.41,2018,Atletico Madrid,Sporting CP,6.75
5356,2533,Luciano Vietto,ARG,FW,Fulham,Premier League,24,1993,20,10,986,11.0,1,4,1,0,0,1,0,0.09,0.37,0.46,0.09,0.46,2.4,2.4,2.1,4.5,0.22,0.19,0.41,0.22,0.41,2018,Atletico Madrid,Sporting CP,6.75
5390,2567,Aaron Wan-Bissaka,ENG,DF,Crystal Palace,Premier League,20,1997,35,35,"3,134",34.8,0,3,0,0,0,4,1,0.00,0.09,0.09,0.00,0.09,0.4,0.4,1.6,2.0,0.01,0.05,0.06,0.01,0.06,2018,Crystal Palace,Manchester United,53
5391,2567,Aaron Wan-Bissaka,ENG,DF,Crystal Palace,Premier League,20,1997,35,35,"3,134",34.8,0,3,0,0,0,4,1,0.00,0.09,0.09,0.00,0.09,0.4,0.4,1.6,2.0,0.01,0.05,0.06,0.01,0.06,2018,Crystal Palace,Manchester United,53
5398,2574,Timothy Weah,USA,FW,Paris S-G,Ligue 1,18,2000,2,1,54,0.6,1,0,1,0,0,1,0,1.67,0.00,1.67,1.67,1.67,0.8,0.8,0.1,0.9,1.33,0.13,1.46,1.33,1.46,2018,PSG,Lille,9
5399,2574,Timothy Weah,USA,FW,Paris S-G,Ligue 1,18,2000,2,1,54,0.6,1,0,1,0,0,1,0,1.67,0.00,1.67,1.67,1.67,0.8,0.8,0.1,0.9,1.33,0.13,1.46,1.33,1.46,2018,PSG,Lille,9
5425,2600,Maximilian Wöber,AUT,DF,Sevilla,La Liga,20,1998,7,6,536,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.05,0.08,0.03,0.08,2018,Sevilla,RB Salzburg,12
5426,2600,Maximilian Wöber,AUT,DF,Sevilla,La Liga,20,1998,7,6,536,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.05,0.08,0.03,0.08,2018,Sevilla,RB Salzburg,12
