,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Year,From,To,Price,Price (m)
353,5212,2398,Matt Targett,ENG,DF,Southampton,Premier League,22,1995,16,13,"1,186",13.2,1,3,1,0,0,2,0,0.08,0.23,0.3,0.08,0.3,0.7,0.7,2.6,3.3,0.05,0.2,0.25,0.05,0.25,2018,Southampton,Aston Villa,14,14.0
354,5213,2398,Matt Targett,ENG,DF,Southampton,Premier League,22,1995,16,13,"1,186",13.2,1,3,1,0,0,2,0,0.08,0.23,0.3,0.08,0.3,0.7,0.7,2.6,3.3,0.05,0.2,0.25,0.05,0.25,2018,Southampton,Aston Villa,14,14.0
355,5237,2422,Sada Thioub,SEN,FW,Nîmes,Ligue 1,23,1995,38,27,"2,476",27.5,3,5,3,0,0,3,0,0.11,0.18,0.29,0.11,0.29,3.4,3.4,3.5,6.9,0.13,0.13,0.25,0.13,0.25,2018,Nimes,Angers,3.5,3.5
356,5238,2422,Sada Thioub,SEN,FW,Nîmes,Ligue 1,23,1995,38,27,"2,476",27.5,3,5,3,0,0,3,0,0.11,0.18,0.29,0.11,0.29,3.4,3.4,3.5,6.9,0.13,0.13,0.25,0.13,0.25,2018,Nimes,Angers,3.5,3.5
357,5242,2426,Marcus Thuram,FRA,FW,Guingamp,Ligue 1,20,1997,32,32,"2,571",28.6,9,1,5,4,5,4,2,0.32,0.04,0.35,0.18,0.21,10.0,6.2,3.3,9.5,0.35,0.12,0.47,0.22,0.33,2018,Guingamp,Monchengladbach,8.5,8.5
358,5243,2426,Marcus Thuram,FRA,FW,Guingamp,Ligue 1,20,1997,32,32,"2,571",28.6,9,1,5,4,5,4,2,0.32,0.04,0.35,0.18,0.21,10.0,6.2,3.3,9.5,0.35,0.12,0.47,0.22,0.33,2018,Guingamp,Monchengladbach,8.5,8.5
359,5244,2427,Youri Tielemans,BEL,MF,Leicester City,Premier League,21,1997,13,13,"1,086",12.1,3,4,3,0,0,2,0,0.25,0.33,0.58,0.25,0.58,1.8,1.8,2.4,4.1,0.15,0.2,0.34,0.15,0.34,2018,Monaco,Leicester,44,44.0
360,5245,2427,Youri Tielemans,BEL,MF,Leicester City,Premier League,21,1997,13,13,"1,086",12.1,3,4,3,0,0,2,0,0.25,0.33,0.58,0.25,0.58,1.8,1.8,2.4,4.1,0.15,0.2,0.34,0.15,0.34,2018,Monaco,Leicester,44,44.0
361,5246,2428,Youri Tielemans,BEL,MF,Monaco,Ligue 1,21,1997,20,20,"1,680",18.7,5,1,4,1,1,5,0,0.27,0.05,0.32,0.21,0.27,3.1,2.3,1.6,3.9,0.17,0.09,0.25,0.12,0.21,2018,Monaco,Leicester,44,44.0
362,5247,2428,Youri Tielemans,BEL,MF,Monaco,Ligue 1,21,1997,20,20,"1,680",18.7,5,1,4,1,1,5,0,0.27,0.05,0.32,0.21,0.27,3.1,2.3,1.6,3.9,0.17,0.09,0.25,0.12,0.21,2018,Monaco,Leicester,44,44.0
363,5285,2466,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,28,1990,33,33,"2,937",32.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,PSG,Eintracht Frankfurt,7,7.0
364,5286,2466,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,28,1990,33,33,"2,937",32.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,PSG,Eintracht Frankfurt,7,7.0
