,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Year
74,75,Jordi Amat,ESP,DF,Betis,La Liga,25,1992,25,24,"2,045",22.7,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.02,0.00,0.03,0.02,0.03,2017
75,76,Amath,SEN,MF,Getafe,La Liga,21,1996,37,36,"2,859",31.8,3,3,3,0,0,9,0,0.09,0.09,0.19,0.09,0.19,5.3,5.3,1.9,7.2,0.17,0.06,0.23,0.17,0.23,2017
76,77,Jordan Amavi,FRA,DF,Marseille,Ligue 1,23,1994,27,24,"2,193",24.4,0,5,0,0,0,7,0,0.00,0.21,0.21,0.00,0.21,0.5,0.5,1.4,1.9,0.02,0.06,0.08,0.02,0.08,2017
77,78,Stephan Ambrosius,GER,DF,Hamburger SV,Bundesliga,18,1998,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
78,79,Kelvin Amian,FRA,DF,Toulouse,Ligue 1,19,1998,36,35,"3,154",35.0,1,1,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06,0.9,0.9,0.9,1.9,0.03,0.03,0.05,0.03,0.05,2017
79,80,Nadiem Amiri,GER,MF,Hoffenheim,Bundesliga,20,1996,28,19,"1,744",19.4,2,3,2,0,0,4,0,0.10,0.15,0.26,0.10,0.26,2.7,2.7,3.1,5.8,0.14,0.16,0.30,0.14,0.30,2017
80,81,Ethan Ampadu,WAL,DF,Chelsea,Premier League,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
81,82,Nordin Amrabat,MAR,FW,Watford,Premier League,30,1987,3,3,198,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.07,0.08,0.01,0.08,2017
82,83,Nordin Amrabat,MAR,FW,Leganés,La Liga,30,1987,30,17,"1,623",18.0,2,4,2,0,0,6,1,0.11,0.22,0.33,0.11,0.33,3.2,3.2,3.1,6.3,0.18,0.17,0.35,0.18,0.35,2017
83,84,Jon Ander Serantes,ESP,GK,Leganés,La Liga,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
84,85,Joachim Andersen,DEN,DF,Sampdoria,Serie A,21,1996,7,6,546,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,2017
85,86,Felipe Anderson,BRA,MF,Lazio,Serie A,24,1993,21,9,"1,162",12.9,4,6,4,0,0,0,0,0.31,0.46,0.77,0.31,0.77,2.1,2.1,4.0,6.1,0.16,0.31,0.47,0.16,0.47,2017
86,87,Florin Andone,ROU,FW,La Coruña,La Liga,24,1993,29,16,"1,636",18.2,7,3,7,0,1,6,0,0.39,0.17,0.55,0.39,0.55,11.0,10.3,1.0,11.3,0.61,0.06,0.66,0.57,0.62,2017
87,88,Nícolas Andrade,BRA,GK,Hellas Verona,Serie A,29,1988,36,36,"3,240",36.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
88,89,Benjamin André,FRA,MF,Rennes,Ligue 1,26,1990,34,34,"3,011",33.5,3,3,3,0,0,11,1,0.09,0.09,0.18,0.09,0.18,3.7,3.7,1.7,5.4,0.11,0.05,0.16,0.11,0.16,2017
89,90,Marco Andreolli,ITA,DF,Cagliari,Serie A,31,1986,23,20,"1,829",20.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,2017
90,91,Yoann Andreu,FRA,DF,Angers,Ligue 1,28,1989,23,23,"2,070",23.0,1,2,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,0.2,0.2,1.8,2.1,0.01,0.08,0.09,0.01,0.09,2017
91,92,Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,27,1990,22,15,"1,442",16.0,4,3,4,0,1,3,0,0.25,0.19,0.44,0.25,0.44,4.9,4.1,1.7,5.8,0.30,0.11,0.41,0.26,0.36,2017
92,93,José Ángel,ESP,DF,Eibar,La Liga,27,1989,30,28,"2,426",27.0,0,8,0,0,0,4,0,0.00,0.30,0.30,0.00,0.30,0.4,0.4,3.2,3.6,0.02,0.12,0.13,0.02,0.13,2017
93,94,Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,33,1984,9,9,764,8.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
94,95,Miguel Ángel Rubio,ESP,DF,Getafe,La Liga,19,1998,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
95,96,Gabriele Angella,ITA,DF,Udinese,Serie A,28,1989,12,9,893,9.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.03,0.02,0.03,2017
96,97,Cristian Ansaldi,ARG,DF,Torino,Serie A,30,1986,25,20,"1,872",20.8,1,3,1,0,0,6,2,0.05,0.14,0.19,0.05,0.19,0.7,0.7,3.2,3.9,0.03,0.15,0.19,0.03,0.19,2017
97,98,Luca Antei,ITA,DF,Benevento,Serie A,25,1992,8,8,592,6.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
98,99,Mirco Antenucci,ITA,FW,SPAL,Serie A,32,1984,33,28,"2,571",28.6,11,4,6,5,5,1,0,0.39,0.14,0.53,0.21,0.35,8.7,4.9,2.1,7.0,0.30,0.07,0.38,0.17,0.24,2017
99,100,Waldemar Anton,GER,DF,Hannover 96,Bundesliga,21,1996,27,26,"2,278",25.3,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,1.8,1.8,0.0,1.8,0.07,0.00,0.07,0.07,0.07,2017
100,101,Luca Antonelli,ITA,DF,Milan,Serie A,30,1987,6,1,144,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,2017
